date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2023-09-30 15:00:00 EDT",1696100400,100.36,102.44,SSE,16,14,,64,15,22.1,,26,24100,,,2,,,22.9,21.9
"2023-09-30 14:00:00 EDT",1696096800,100.4,102.49,SE,14,9,,63,14.6,22,,26,24100,,,2,,,23.2,22
"2023-09-30 13:00:00 EDT",1696093200,100.41,102.49,N,0,3,,58,13.5,22.2,,25,24100,,,2,,,22.9,21.2
"2023-09-30 12:00:00 EDT",1696089600,100.48,102.57,ENE,6,7,,61,13.7,21.5,,25,24100,,,2,,,21.7,19.9
"2023-09-30 11:00:00 EDT",1696086000,100.48,102.57,NNE,2,5,,68,14,20,,,24100,,,3,,,20.2,18.2
"2023-09-30 10:00:00 EDT",1696082400,100.48,102.57,NNE,2,8,,80,14.6,18.2,,,24100,,,2,,,18.2,15.5
"2023-09-30 09:00:00 EDT",1696078800,100.42,102.51,NNE,2,8,,89,13.9,15.7,,,24100,,,1,,,15.7,13.9
"2023-09-30 08:00:00 EDT",1696075200,100.4,102.49,NNW,35,7,,97,13.4,13.9,,,19300,,,1,,,13.9,12.2
"2023-09-30 07:00:00 EDT",1696071600,100.33,102.42,NNE,3,8,,100,12.4,12.4,,,19300,,,1,,,13.2,12.3
"2023-09-30 06:00:00 EDT",1696068000,100.31,102.4,NNW,34,9,,99,12.7,12.9,,,16100,,,1,,,14,12.9
"2023-09-30 05:00:00 EDT",1696064400,100.22,102.31,NNW,33,11,,98,13.3,13.6,,,16100,,,1,,,14,13.2
"2023-09-30 04:00:00 EDT",1696060800,100.18,102.27,NNE,2,9,,97,13.4,13.8,,,16100,,,0,,,14.7,13.8
"2023-09-30 03:00:00 EDT",1696057200,100.15,102.23,NNW,33,9,,97,14.3,14.7,,,16100,,,1,,,15,14.3
"2023-09-30 02:00:00 EDT",1696053600,100.13,102.21,NNE,2,8,,99,14.7,14.8,,,19300,,,1,,,15.8,14.4
"2023-09-30 01:00:00 EDT",1696050000,100.13,102.21,NE,4,3,,98,15.3,15.6,,,19300,,,2,,,15.8,15.3
"2023-09-30 00:00:00 EDT",1696046400,100.17,102.25,NE,4,5,,96,14.9,15.5,,,19300,,,4,,,16,15.4
"2023-09-29 23:00:00 EDT",1696042800,100.18,102.26,ENE,7,4,,91,14.1,15.7,,,24100,,,1,,,16.4,15.7
"2023-09-29 22:00:00 EDT",1696039200,100.18,102.26,E,9,7,,89,14.4,16.3,,,24100,,,0,,,16.9,16
"2023-09-29 21:00:00 EDT",1696035600,100.21,102.3,NE,6,9,,82,13.8,16.8,,,24100,,,0,,,17.7,16.7
"2023-09-29 20:00:00 EDT",1696032000,100.19,102.28,ESE,11,8,,77,13.5,17.6,,,24100,,,0,,,18.1,17.4
"2023-09-29 19:00:00 EDT",1696028400,100.15,102.24,E,9,9,,74,13.4,18.1,,,24100,,,0,,,18.9,17.9
"2023-09-29 18:00:00 EDT",1696024800,100.09,102.18,ESE,10,10,,69,13,18.9,,,24100,,,1,,,20,18.9
"2023-09-29 17:00:00 EDT",1696021200,100.06,102.14,ESE,12,8,,61,12.5,20.1,,,24100,,,1,,,20.6,19.7
"2023-09-29 16:00:00 EDT",1696017600,100.07,102.15,ESE,10,12,,59,12.2,20.4,,,24100,,,1,,,21,20.2
"2023-09-29 15:00:00 EDT",1696014000,100.07,102.15,ESE,11,9,,59,12.4,20.6,,,24100,,,1,,,21.1,20.2
"2023-09-29 14:00:00 EDT",1696010400,100.09,102.17,ESE,12,18,,60,12.8,20.8,,,24100,,,5,,,21.4,19.4
"2023-09-29 13:00:00 EDT",1696006800,100.13,102.21,ENE,8,11,,65,13.3,20.1,,,24100,,,2,,,21.2,19.8
"2023-09-29 12:00:00 EDT",1696003200,100.12,102.2,E,8,5,,57,11.8,20.6,,,24100,,,2,,,20.7,19.4
"2023-09-29 11:00:00 EDT",1695999600,100.14,102.22,ESE,11,10,,64,12.5,19.3,,,24100,,,2,,,19.6,18.2
"2023-09-29 10:00:00 EDT",1695996000,100.15,102.23,ENE,8,10,,70,12.7,18.2,,,24100,,,5,,,18.7,15.9
"2023-09-29 09:00:00 EDT",1695992400,100.15,102.24,N,1,3,,82,12.8,15.9,,,24100,,,4,,,15.9,12.9
"2023-09-29 08:00:00 EDT",1695988800,100.13,102.22,NW,31,8,,98,12.4,12.8,,,24100,,,6,,,13.2,11.6
"2023-09-29 07:00:00 EDT",1695985200,100.08,102.17,NE,4,8,,97,12.4,12.8,,,24100,,,7,,,12.9,11.8
"2023-09-29 06:00:00 EDT",1695981600,100.05,102.14,N,1,7,,96,11.9,12.4,,,24100,,,5,,,13.6,12.4
"2023-09-29 05:00:00 EDT",1695978000,100.03,102.12,NNW,33,7,,96,13.1,13.6,,,24100,,,6,,,14.3,13.6
"2023-09-29 04:00:00 EDT",1695974400,100.02,102.11,N,36,10,,97,13.8,14.3,,,24100,,,7,,,14.4,14
"2023-09-29 03:00:00 EDT",1695970800,100.02,102.11,ENE,6,4,,95,13.7,14.4,,,19300,,,7,,,15.1,14.4
"2023-09-29 02:00:00 EDT",1695967200,100.07,102.16,SE,13,7,,84,12.4,15,,,16100,,,7,,,15.1,14.6
